#t;x;y
1.001;-11.957;3.363
5.02;11.835;21.076
3.952;-7.136;20.189
1.729;9.299;-22.37
4.99;6.074;15.364
4.905;-12.801;-8.255
5.179;-12.795;18.315
1.282;-9.284;-17.443
4.469;11.697;-22.152
5.086;7.809;-22.896
1.926;-12.848;10.488
5.278;3.441;-0.194
1.981;-2.326;9.046
0.765;-8.555;2.816
4.138;12.836;-5.693
3.171;-2.683;22.436
2.369;13.039;-3.768
5.129;-3.534;3.823
2.088;11.491;17.269
3.577;11.521;-16.296
4.366;-1.653;4.865
2.108;7.877;22.782
2.832;-11.688;-0.444
4.17;11.902;-22.908
2.31;6.081;-11.869
1.387;-1.963;-6.819
4.941;-7.01;-21.97
2.749;-4.161;5.828
6.162;1.058;-22.345
1.362;-8.398;15.592
